currency,exchange_rate,exchange_rate_%,ingestion_timestamp
GBP,1.0,100.0,2025-07-20 17:42:25
AED,4.9293,492.9,2025-07-20 17:42:25
AFN,92.5663,9256.6,2025-07-20 17:42:25
ALL,112.7583,11275.8,2025-07-20 17:42:25
AMD,515.3434,51534.3,2025-07-20 17:42:25
ANG,2.4026,240.3,2025-07-20 17:42:25
AOA,1263.7235,126372.4,2025-07-20 17:42:25
ARS,1723.1832,172318.3,2025-07-20 17:42:25
AUD,2.0608,206.1,2025-07-20 17:42:25
AWG,2.4026,240.3,2025-07-20 17:42:25
AZN,2.283,228.3,2025-07-20 17:42:25
BAM,2.2571,225.7,2025-07-20 17:42:25
BBD,2.6844,268.4,2025-07-20 17:42:25
BDT,162.9494,16294.9,2025-07-20 17:42:25
BGN,2.2572,225.7,2025-07-20 17:42:25
BHD,0.5047,50.5,2025-07-20 17:42:25
BIF,4010.7353,401073.5,2025-07-20 17:42:25
BMD,1.3422,134.2,2025-07-20 17:42:25
BND,1.7243,172.4,2025-07-20 17:42:25
BOB,9.2719,927.2,2025-07-20 17:42:25
BRL,7.4562,745.6,2025-07-20 17:42:25
BSD,1.3422,134.2,2025-07-20 17:42:25
BTN,115.6802,11568.0,2025-07-20 17:42:25
BWP,18.9769,1897.7,2025-07-20 17:42:25
BYN,4.0491,404.9,2025-07-20 17:42:25
BZD,2.6844,268.4,2025-07-20 17:42:25
CAD,1.8416,184.2,2025-07-20 17:42:25
CDF,3896.1429,389614.3,2025-07-20 17:42:25
CHF,1.0756,107.6,2025-07-20 17:42:25
CLP,1294.4257,129442.6,2025-07-20 17:42:25
CNY,9.6359,963.6,2025-07-20 17:42:25
COP,5383.2694,538326.9,2025-07-20 17:42:25
CRC,676.3313,67633.1,2025-07-20 17:42:25
CUP,32.2133,3221.3,2025-07-20 17:42:25
CVE,127.2522,12725.2,2025-07-20 17:42:25
CZK,28.4279,2842.8,2025-07-20 17:42:25
DJF,238.5408,23854.1,2025-07-20 17:42:25
DKK,8.6083,860.8,2025-07-20 17:42:25
DOP,80.7037,8070.4,2025-07-20 17:42:25
DZD,174.3922,17439.2,2025-07-20 17:42:25
EGP,66.2972,6629.7,2025-07-20 17:42:25
ERN,20.1333,2013.3,2025-07-20 17:42:25
ETB,182.966,18296.6,2025-07-20 17:42:25
EUR,1.1541,115.4,2025-07-20 17:42:25
FJD,3.0279,302.8,2025-07-20 17:42:25
FKP,1.0,100.0,2025-07-20 17:42:25
FOK,8.6083,860.8,2025-07-20 17:42:25
