currency,exchange_rate,exchange_rate_%,ingestion_timestamp
GBP,1.0,100.0,2025-07-06 16:31:13
AED,5.012,501.2,2025-07-06 16:31:13
AFN,95.3316,9533.2,2025-07-06 16:31:13
ALL,113.302,11330.2,2025-07-06 16:31:13
AMD,523.9823,52398.2,2025-07-06 16:31:13
ANG,2.4429,244.3,2025-07-06 16:31:13
AOA,1281.8993,128189.9,2025-07-06 16:31:13
ARS,1692.0375,169203.8,2025-07-06 16:31:13
AUD,2.0821,208.2,2025-07-06 16:31:13
AWG,2.4429,244.3,2025-07-06 16:31:13
AZN,2.3204,232.0,2025-07-06 16:31:13
BAM,2.2659,226.6,2025-07-06 16:31:13
BBD,2.7295,273.0,2025-07-06 16:31:13
BDT,167.3557,16735.6,2025-07-06 16:31:13
BGN,2.266,226.6,2025-07-06 16:31:13
BHD,0.5131,51.3,2025-07-06 16:31:13
BIF,4073.402,407340.2,2025-07-06 16:31:13
BMD,1.3647,136.5,2025-07-06 16:31:13
BND,1.7393,173.9,2025-07-06 16:31:13
BOB,9.4442,944.4,2025-07-06 16:31:13
BRL,7.3878,738.8,2025-07-06 16:31:13
BSD,1.3647,136.5,2025-07-06 16:31:13
BTN,116.6073,11660.7,2025-07-06 16:31:13
BWP,18.1187,1811.9,2025-07-06 16:31:13
BYN,4.1415,414.2,2025-07-06 16:31:13
BZD,2.7295,273.0,2025-07-06 16:31:13
CAD,1.8562,185.6,2025-07-06 16:31:13
CDF,3957.019,395701.9,2025-07-06 16:31:13
CHF,1.0835,108.4,2025-07-06 16:31:13
CLP,1268.9312,126893.1,2025-07-06 16:31:13
CNY,9.7845,978.4,2025-07-06 16:31:13
COP,5462.7188,546271.9,2025-07-06 16:31:13
CRC,688.7841,68878.4,2025-07-06 16:31:13
CUP,32.7536,3275.4,2025-07-06 16:31:13
CVE,127.7466,12774.7,2025-07-06 16:31:13
CZK,28.5605,2856.0,2025-07-06 16:31:13
DJF,242.5418,24254.2,2025-07-06 16:31:13
DKK,8.6436,864.4,2025-07-06 16:31:13
DOP,81.3626,8136.3,2025-07-06 16:31:13
DZD,176.9198,17692.0,2025-07-06 16:31:13
EGP,67.3913,6739.1,2025-07-06 16:31:13
ERN,20.471,2047.1,2025-07-06 16:31:13
ETB,185.3701,18537.0,2025-07-06 16:31:13
EUR,1.1585,115.8,2025-07-06 16:31:13
FJD,3.0523,305.2,2025-07-06 16:31:13
FKP,1.0,100.0,2025-07-06 16:31:13
FOK,8.6436,864.4,2025-07-06 16:31:13
GEL,3.709,370.9,2025-07-06 16:31:13
GGP,1.0,100.0,2025-07-06 16:31:13
GHS,14.8689,1486.9,2025-07-06 16:31:13
GIP,1.0,100.0,2025-07-06 16:31:13
GMD,99.2429,9924.3,2025-07-06 16:31:13
GNF,11849.3471,1184934.7,2025-07-06 16:31:13
GTQ,10.4888,1048.9,2025-07-06 16:31:13
GYD,285.1661,28516.6,2025-07-06 16:31:13
HKD,10.7156,1071.6,2025-07-06 16:31:13
HNL,35.6437,3564.4,2025-07-06 16:31:13
HRK,8.729,872.9,2025-07-06 16:31:13
HTG,178.935,17893.5,2025-07-06 16:31:13
HUF,462.4848,46248.5,2025-07-06 16:31:13
IDR,22103.3687,2210336.9,2025-07-06 16:31:13
ILS,4.5578,455.8,2025-07-06 16:31:13
IMP,1.0,100.0,2025-07-06 16:31:13
INR,116.6073,11660.7,2025-07-06 16:31:13
